id,jurisdiction,doc_type,source_system,canonical_id,title,language,date_document,court,court_ecli_code,case_number,decision_type,subject_matters,source_url,content_html_url,content_xml_url
doc-eu-case-62025TJ0043,EU,case_law,curia,ECLI:EU:T:2026:31,Judgment of the General Court (First Chamber) of 21 January 2026.#Puma SE v European Union Intellectual Property Office.#EU trade mark – Opposition proceedings – Application for an EU figurative mark representing a curved stripe and an irregular triangle inside a black rectangle – Earlier EU figurative marks representing one or more white curved stripes ascending to the right – Relative ground for refusal – No likelihood of confusion – Article 8(1)(b) of Regulation (EU) 2017/1001.#Case T-43/25.,en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62025TJ0043,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62025TJ0043,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62025TJ0043
doc-eu-case-62025TJ0078,EU,case_law,curia,ECLI:EU:T:2026:37,"Judgment of the General Court (Sixth Chamber) of 21 January 2026.#Synonym Software, SA de CV v European Union Intellectual Property Office.#EU trade mark – Application for the EU word mark PAYKIT – Absolute ground for refusal – Descriptiveness – Article 7(1)(c) of Regulation (EU) 2017/1001 – Equal treatment – Principle of sound administration.#Case T-78/25.",en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62025TJ0078,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62025TJ0078,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62025TJ0078
doc-eu-case-62024TJ0093,EU,case_law,curia,ECLI:EU:T:2026:33,"Judgment of the General Court (Third Chamber, Extended Composition) of 21 January 2026.#Lantmännen ek för and Lantmännen Biorefineries AB v European Commission.#Competition – Agreements, decisions and concerted practices – Markets for ethanol and for bioethanol – Decision establishing an infringement of Article 101 TFEU and Article 53 of the EEA Agreement – Staggered ‘hybrid’ procedure – Presumption of innocence – Impartiality.#Case T-93/24.",en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024TJ0093,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024TJ0093,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024TJ0093
doc-eu-case-62025TC0150,EU,case_law,curia,ECLI:EU:T:2026:39,Opinion of Advocate General Martín y Pérez de Nanclares delivered on 21 January 2026.###,en,2026-01-21,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62025TC0150,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62025TC0150,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62025TC0150
doc-eu-case-62025TO0694(01),EU,case_law,curia,ECLI:EU:T:2026:28,Order of the President of the General Court of 16 January 2026.#Chemours Netherlands BV v European Commission.#Interim relief – Environment – Fluorinated greenhouse gases – Regulation (EU) 2024/573 – Decision imposing a penalty on an undertaking that exceeded the quota allocated to it – Quota reduction – Application for interim measures – No urgency.#Case T-694/25 R.,en,2026-01-16,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62025TO0694(01),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62025TO0694(01),https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62025TO0694(01)
doc-eu-case-62024CJ0742,EU,case_law,curia,ECLI:EU:C:2026:15,"Judgment of the Court (Tenth Chamber) of 15 January 2026.#International Protection Appeals Tribunal and Others v L.K.#Request for a preliminary ruling from the Supreme Court.#Reference for a preliminary ruling – Border controls, asylum and immigration – Asylum policy – Directive 2013/33/EU – Article 15(1) – Access to the labour market as an applicant for international protection – Refusal of a request to access the labour market – Reason for the refusal – Delay in the processing of the application for international protection attributable in part to the applicant.#Case C-742/24.",en,2026-01-15,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0742,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0742,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0742
doc-eu-case-62024CJ0742,EU,case_law,curia,ECLI:EU:C:2026:15,"Judgment of the Court (Tenth Chamber) of 15 January 2026.#International Protection Appeals Tribunal and Others v L.K.#Reference for a preliminary ruling – Border controls, asylum and immigration – Asylum policy – Directive 2013/33/EU – Article 15(1) – Access to the labour market as an applicant for international protection – Refusal of a request to access the labour market – Reason for the refusal – Delay in the processing of the application for international protection attributable in part to the applicant.#Case C-742/24.",en,2026-01-15,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0742,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0742,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0742
doc-eu-case-62024CJ0075,EU,case_law,curia,ECLI:EU:C:2026:6,Judgment of the Court (Fifth Chamber) of 15 January 2026.#XH v European Commission.#Appeal – Civil service – European Anti-Fraud Office (OLAF) – Allegations of psychological harassment during periods of sick leave – Rejection of the request for assistance and of the claim for compensation – Opening of an invalidity procedure – Action for annulment and for damages – Admissibility – Acts open to challenge – Obligation on the part of the General Court of the European Union to state reasons – Contradictory reasoning – Distortion of the facts and evidence.#Case C-75/24 P.,en,2026-01-15,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0075,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0075,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0075
doc-eu-case-62024CJ0129,EU,case_law,curia,ECLI:EU:C:2026:5,Judgment of the Court (Fifth Chamber) of 15 January 2026.#Coillte Cuideachta Ghníomhaíochta Ainmnithe v Commissioner for Environmental Information.#Request for a preliminary ruling from the High Court (Irlande).#Reference for a preliminary ruling – Environment – Aarhus Convention – Directive 2003/4/EC – Public access to environmental information – Concepts of ‘applicant’ and ‘request’ – Anonymous applicants or applicants using pseudonyms – Right of access to environmental information – Practical arrangements – Obligation for applicants to provide their actual name and a current physical address – Invalidity of the request.#Case C-129/24.,en,2026-01-15,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0129,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0129,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0129
doc-eu-case-62024CJ0129,EU,case_law,curia,ECLI:EU:C:2026:5,Judgment of the Court (Fifth Chamber) of 15 January 2026.#Coillte Cuideachta Ghníomhaíochta Ainmnithe v Commissioner for Environmental Information.#Reference for a preliminary ruling – Environment – Aarhus Convention – Directive 2003/4/EC – Public access to environmental information – Concepts of ‘applicant’ and ‘request’ – Anonymous applicants or applicants using pseudonyms – Right of access to environmental information – Practical arrangements – Obligation for applicants to provide their actual name and a current physical address – Invalidity of the request.#Case C-129/24.,en,2026-01-15,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CJ0129,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CJ0129,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CJ0129
doc-eu-case-62024CC0657,EU,case_law,curia,ECLI:EU:C:2026:18,Opinion of Advocate General Norkus delivered on 15 January 2026.###,en,2026-01-15,,EU,,Judgment,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:62024CC0657,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:62024CC0657,https://eur-lex.europa.eu/legal-content/EN/TXT/XML/?uri=CELEX:62024CC0657
