id,jurisdiction,doc_type,source_system,canonical_id,title,language,date_document,date_publication,date_entry_into_force,in_force,subject_matters,source_url,content_html_url,content_xml_url
doc-fr-leg-LEGITEXT000006074068_30-12-1981,FR,legislation,legifrance,LEGITEXT000006074068_30-12-1981,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074068_30-12-1981,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074068_30-12-1981,
doc-fr-leg-LEGITEXT000006074068_30-11-1965,FR,legislation,legifrance,LEGITEXT000006074068_30-11-1965,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074068_30-11-1965,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074068_30-11-1965,
doc-fr-leg-LEGITEXT000006074068_15-12-1974,FR,legislation,legifrance,LEGITEXT000006074068_15-12-1974,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074068_15-12-1974,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074068_15-12-1974,
doc-fr-leg-LEGITEXT000031366350_18-06-2020,FR,legislation,legifrance,LEGITEXT000031366350_18-06-2020,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000031366350_18-06-2020,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000031366350_18-06-2020,
doc-fr-leg-LEGITEXT000006074068_02-09-1987,FR,legislation,legifrance,LEGITEXT000006074068_02-09-1987,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074068_02-09-1987,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074068_02-09-1987,
doc-fr-leg-LEGITEXT000006075115_21-05-1955,FR,legislation,legifrance,LEGITEXT000006075115_21-05-1955,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006075115_21-05-1955,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006075115_21-05-1955,
doc-fr-leg-LEGITEXT000006075115_02-06-1955,FR,legislation,legifrance,LEGITEXT000006075115_02-06-1955,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006075115_02-06-1955,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006075115_02-06-1955,
doc-fr-leg-LEGITEXT000006075115_31-12-2000,FR,legislation,legifrance,LEGITEXT000006075115_31-12-2000,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006075115_31-12-2000,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006075115_31-12-2000,
doc-fr-leg-LEGITEXT000006075116_08-06-2006,FR,legislation,legifrance,LEGITEXT000006075116_08-06-2006,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006075116_08-06-2006,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006075116_08-06-2006,
doc-fr-leg-LEGITEXT000006075116_31-03-2011,FR,legislation,legifrance,LEGITEXT000006075116_31-03-2011,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006075116_31-03-2011,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006075116_31-03-2011,
doc-fr-leg-LEGITEXT000006074947_10-07-1954,FR,legislation,legifrance,LEGITEXT000006074947_10-07-1954,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_10-07-1954,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_10-07-1954,
doc-fr-leg-LEGITEXT000006074947_08-07-1978,FR,legislation,legifrance,LEGITEXT000006074947_08-07-1978,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_08-07-1978,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_08-07-1978,
doc-fr-leg-LEGITEXT000006074947_22-05-1982,FR,legislation,legifrance,LEGITEXT000006074947_22-05-1982,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_22-05-1982,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_22-05-1982,
doc-fr-leg-LEGITEXT000006074947_22-03-1992,FR,legislation,legifrance,LEGITEXT000006074947_22-03-1992,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_22-03-1992,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_22-03-1992,
doc-fr-leg-LEGITEXT000006074947_20-02-1991,FR,legislation,legifrance,LEGITEXT000006074947_20-02-1991,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_20-02-1991,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_20-02-1991,
doc-fr-leg-LEGITEXT000006074947_19-10-2000,FR,legislation,legifrance,LEGITEXT000006074947_19-10-2000,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_19-10-2000,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_19-10-2000,
doc-fr-leg-LEGITEXT000006074947_09-12-1983,FR,legislation,legifrance,LEGITEXT000006074947_09-12-1983,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_09-12-1983,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_09-12-1983,
doc-fr-leg-LEGITEXT000006074947_20-12-1984,FR,legislation,legifrance,LEGITEXT000006074947_20-12-1984,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_20-12-1984,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_20-12-1984,
doc-fr-leg-LEGITEXT000006074947_31-12-1985,FR,legislation,legifrance,LEGITEXT000006074947_31-12-1985,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_31-12-1985,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_31-12-1985,
doc-fr-leg-LEGITEXT000006074947_01-03-1994,FR,legislation,legifrance,LEGITEXT000006074947_01-03-1994,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_01-03-1994,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_01-03-1994,
doc-fr-leg-LEGITEXT000006074947_10-11-1996,FR,legislation,legifrance,LEGITEXT000006074947_10-11-1996,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_10-11-1996,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_10-11-1996,
doc-fr-leg-LEGITEXT000006074947_26-03-1998,FR,legislation,legifrance,LEGITEXT000006074947_26-03-1998,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_26-03-1998,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_26-03-1998,
doc-fr-leg-LEGITEXT000006074947_25-10-2000,FR,legislation,legifrance,LEGITEXT000006074947_25-10-2000,,fr,,,,False,,https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006074947_25-10-2000,https://www.legifrance.gouv.fr/codes/id/LEGITEXT000006074947_25-10-2000,
